Max,Min,Avg
11.0,6.8,8.83
10.3,0.5,6.71
10.3,0.5,6.85
11.3,0.0,6.70
10.4,0.5,6.29
10.4,0.6,6.64
10.4,0.2,7.03
10.4,1.0,6.34
10.2,0.5,6.79
10.2,0.0,6.86
10.0,1.2,6.65
9.8,1.0,6.54
11.1,0.0,5.95
10.6,1.7,6.71
10.2,1.1,6.44
10.2,0.0,6.21
10.2,0.1,5.80
10.1,0.6,6.29
10.2,0.3,6.01
10.0,0.5,6.43
10.2,0.6,6.17
9.9,0.8,6.36
9.9,0.0,5.99
9.9,0.0,6.54
9.9,0.2,6.39
10.3,0.5,5.95
9.8,1.0,6.27
9.8,1.0,6.60
9.9,1.1,6.66
10.4,0.5,6.51
11.7,0.3,6.43
10.8,0.0,6.29
10.5,0.0,6.28
10.5,1.0,6.54
10.7,0.9,6.41
10.7,0.5,6.62
11.3,0.5,6.51
10.4,0.5,6.28
10.6,1.5,6.32
10.6,1.0,6.52
10.4,0.1,6.07
10.4,0.7,6.69
10.4,0.0,6.21
10.4,0.1,6.17
9.8,0.5,6.17
10.4,0.0,6.33
10.4,0.0,5.88
9.3,0.0,6.15
9.8,0.7,6.02
10.2,0.1,5.93
10.4,1.0,6.35
9.8,0.6,6.03
9.8,0.5,5.95
10.5,1.1,6.55
9.1,0.5,5.89
9.1,0.5,5.76
10.2,1.0,6.59
10.3,0.5,6.21
10.3,0.2,5.91
10.3,0.0,6.05
10.3,0.8,6.19
9.5,0.6,6.52
9.2,0.5,6.02
9.6,0.7,5.99
10.8,0.0,6.00
11.1,0.7,6.51
10.8,0.5,6.39
9.5,0.0,5.83
9.8,1.0,6.24
9.8,1.2,6.08
9.9,0.0,6.45
9.8,0.9,6.35
10.0,0.0,6.03
11.0,0.0,6.27
11.0,1.0,6.24
11.0,1.0,6.42
11.0,0.5,6.53
11.0,0.7,5.76
11.0,0.0,6.59
11.0,0.2,5.89
11.0,0.5,6.13
10.1,0.0,6.18
10.1,0.5,6.33
10.3,1.0,6.39
10.1,0.6,6.73
9.8,0.6,5.85
10.1,0.5,6.21
10.1,0.0,6.50
10.1,0.2,6.47
10.8,0.0,6.49
10.8,0.0,6.41
10.8,0.5,6.30
10.1,0.5,6.17
10.8,0.0,5.56
10.8,0.0,6.42
10.1,0.2,5.76
10.3,0.0,6.69
10.3,1.0,6.42
10.3,0.2,6.56
10.6,1.5,6.46
10.1,1.0,6.22
